campaign_id,week_id,spend,impressions,clicks,conversions
90,43,1094.40,196916,1575,236
90,44,1094.40,145399,2824,62
90,45,1094.40,158334,3331,187
90,46,1094.40,85234,2419,210
92,4,203.78,170100,717,48
92,5,203.78,129139,2732,108
92,6,203.78,111151,2054,244
92,7,203.78,172701,2787,211
92,8,203.78,182407,1724,64
92,9,203.78,42218,1064,218
92,10,203.78,106483,2260,45
94,59,420.22,137810,454,111
94,60,420.22,91843,680,125
94,61,420.22,168505,1613,92
94,62,420.22,157354,1703,182
94,63,420.22,148142,2825,48
94,64,420.22,81260,1257,95
102,65,1121.99,185974,3216,6
102,66,1121.99,146713,2651,290
102,67,1121.99,162632,3943,95
102,68,1121.99,111255,4090,107
102,69,1121.99,25103,2551,261
102,70,1121.99,125074,3615,160
105,92,226.60,79561,2377,223
105,93,226.60,76404,3114,216
105,94,226.60,78251,3866,188
105,95,226.60,103840,438,275
105,96,226.60,172926,1510,31
105,97,226.60,156677,3334,197
107,26,248.49,72021,2043,136
107,27,248.49,62103,2890,203
107,28,248.49,56156,1881,154
107,29,248.49,32238,785,163
107,30,248.49,94923,983,224
107,31,248.49,194874,3834,193
107,32,248.49,22038,3680,99
109,38,318.87,175677,1089,160
109,39,318.87,141811,2384,215
109,40,318.87,195158,1158,88
109,41,318.87,121141,1182,167
109,42,318.87,133192,2926,161
109,43,318.87,164972,3056,51
113,91,230.42,67809,1024,75
113,92,230.42,117978,1005,117
113,93,230.42,135203,2408,257
113,94,230.42,171046,786,69
113,95,230.42,109946,4079,109
113,96,230.42,40913,1153,257
113,97,230.42,185302,362,139
114,1,874.20,86321,1459,145
114,2,874.20,193845,3991,257
114,3,874.20,119308,425,193
118,4,174.35,198499,844,254
118,5,174.35,131080,2426,284
118,6,174.35,195850,1885,57
118,7,174.35,70257,2593,51
118,8,174.35,22399,3378,284
118,9,174.35,91913,2564,232
121,79,245.06,114006,2614,140
121,80,245.06,95563,3076,105
121,81,245.06,20410,1373,142
121,82,245.06,58418,2237,276
121,83,245.06,180483,2488,60
121,84,245.06,140749,3646,93
122,13,150.90,108950,2364,71
122,14,150.90,100278,2051,297
122,15,150.90,154567,865,181
122,16,150.90,175746,2695,162
122,17,150.90,156487,607,75
122,18,150.90,125305,3387,73
122,19,150.90,100293,3704,17
130,52,405.13,23101,3694,99
130,53,405.13,62786,3760,226
130,54,405.13,193326,2323,234
130,55,405.13,31976,3101,133
130,56,405.13,189065,3682,165
130,57,405.13,20491,2560,287
130,58,405.13,108526,3359,147
132,49,871.16,47689,1504,55
132,50,871.16,109593,2312,49
132,51,871.16,64437,781,301
132,52,871.16,175015,957,113
132,53,871.16,197658,2866,116
132,54,871.16,87320,3035,131
132,55,871.16,192888,3614,121
134,89,177.74,55002,3100,17
134,90,177.74,196822,1823,29
134,91,177.74,162621,903,155
134,92,177.74,56032,890,83
134,93,177.74,188148,1329,187
134,94,177.74,63548,2484,43
134,95,177.74,176139,3518,168
138,88,1919.57,195750,2900,139
138,89,1919.57,99347,1579,125
138,90,1919.57,161928,1521,90
138,91,1919.57,157589,4064,166
138,92,1919.57,95748,3304,190
138,93,1919.57,26010,367,37
139,2,348.01,104874,876,134
139,3,348.01,113829,434,223
139,4,348.01,108204,722,59
139,5,348.01,184537,1145,136
139,6,348.01,84253,612,138
139,7,348.01,57618,3016,273
142,15,305.90,42673,4076,145
142,16,305.90,177653,611,271
142,17,305.90,92949,3646,32
142,18,305.90,96974,1803,221
142,19,305.90,38704,379,278
142,20,305.90,32570,227,252
142,21,305.90,136552,3978,239
144,53,904.95,59560,2777,173
144,54,904.95,51353,1805,150
144,55,904.95,158100,3233,151
144,56,904.95,21359,2905,112
144,57,904.95,185579,1437,241
144,58,904.95,97222,3173,134
146,82,274.94,49681,3552,213
146,83,274.94,154843,1727,203
146,84,274.94,91770,1787,241
146,85,274.94,120993,1439,264
146,86,274.94,43248,4108,154
146,87,274.94,98477,1957,271
146,88,274.94,178332,3041,279
