track_id,playlist_id,added_week_id,removed_week_id
456,24,80,87
457,19,66,68
458,3,70,
460,10,50,54
460,16,53,55
460,24,78,
461,3,95,98
462,22,78,
462,23,16,
464,3,6,9
464,4,4,6
464,6,97,104
465,5,14,22
467,11,75,
469,10,27,30
470,12,77,
470,19,7,14
472,25,73,81
474,25,9,
475,5,44,
475,15,14,22
477,3,34,41
477,26,5,8
478,1,34,
479,6,75,76
479,27,82,88
480,9,31,
481,3,77,
481,5,90,
481,14,11,18
481,17,40,48
481,18,24,
483,4,30,
483,11,44,45
483,30,49,
488,13,3,
489,7,57,
489,9,21,24
490,1,53,
491,12,46,50
491,15,78,
492,8,6,13
492,11,47,50
493,16,89,95
495,19,75,81
497,12,14,19
499,6,92,
499,21,45,51
499,30,26,30
501,19,52,
502,12,31,32
502,21,13,15
503,2,102,104
505,15,41,47
506,6,48,49
506,24,80,84
507,19,15,19
508,15,25,
510,8,93,98
512,4,47,53
512,20,24,26
514,11,79,85
515,16,35,43
516,26,73,79
519,11,22,
520,19,96,
520,21,97,101
521,9,2,
522,13,11,12
522,24,47,51
523,11,52,58
523,30,84,
526,16,98,103
526,27,75,
527,18,61,
528,14,10,17
532,28,19,21
533,14,77,82
534,18,101,103
537,7,30,36
537,16,33,36
537,20,19,
537,26,56,64
538,8,59,
538,11,29,31
538,20,61,62
539,7,51,
539,30,31,35
540,23,4,10
540,26,30,32
541,19,30,35
541,23,27,34
543,13,24,31
545,8,43,50
546,2,28,33
546,30,81,88
547,8,20,
547,18,15,16
550,14,100,104
551,29,60,63
552,17,38,46
552,23,73,78
552,28,64,67
553,2,104,104
553,19,91,
553,24,80,83
556,13,74,80
556,20,9,
558,15,96,99
558,26,87,89
559,9,92,95
559,18,70,
562,4,75,83
562,20,3,9
563,2,52,56
563,10,96,
564,6,104,104
564,17,1,2
565,3,22,
566,4,5,
566,20,61,
566,25,50,56
567,27,12,14
568,12,19,
569,5,95,100
569,21,57,59
570,8,52,
571,7,10,13
571,23,55,63
572,8,48,53
572,20,29,33
573,13,15,19
574,11,46,
575,22,75,82
576,3,25,26
576,15,18,
576,16,2,
577,8,11,14
577,12,7,10
578,15,8,16
580,10,63,68
580,14,72,75
581,5,70,
581,30,81,87
582,3,70,75
582,30,91,98
583,2,40,
583,6,38,
583,11,31,34
583,19,81,87
583,26,73,75
584,27,74,
585,28,63,68
587,11,80,84
587,21,42,
588,17,48,53
590,20,56,64
591,16,101,102
592,21,103,104
593,3,42,50
596,17,66,
597,6,42,47
600,25,92,
601,17,26,29
603,6,34,
603,26,47,
604,14,31,37
606,2,2,6
607,4,36,
608,17,2,7
610,17,34,36
610,26,92,93
610,30,59,60
611,28,76,84
613,30,9,
614,1,61,65
614,19,95,100
615,5,32,33
615,13,12,15
617,4,27,
618,5,16,17
618,6,65,69
618,16,61,69
618,26,79,83
618,30,95,
619,13,84,86
620,8,81,
621,28,62,63
621,30,14,
622,7,44,49
622,8,22,26
622,9,64,69
622,11,81,86
627,13,78,86
627,15,96,100
628,12,72,
628,19,60,65
628,25,84,88
629,3,95,96
630,4,71,77
630,15,14,
631,12,66,73
633,7,31,35
633,29,15,
636,15,65,
637,12,26,32
640,9,38,
640,18,73,
641,14,59,67
643,2,59,
643,16,93,94
643,27,37,
644,30,35,
645,25,8,
645,30,14,17
646,10,18,24
647,6,12,16
648,22,44,46
650,10,48,
651,1,69,77
651,14,21,
651,21,90,97
652,12,59,62
653,21,94,100
653,28,30,33
654,27,53,59
655,27,13,
656,14,76,79
657,18,104,104
658,1,42,44
659,1,27,
661,13,10,15
662,6,49,55
662,27,77,
664,27,103,
665,9,7,10
665,24,96,98
666,10,88,93
666,28,73,80
666,29,40,47
668,12,47,50
669,2,34,37
670,5,78,
670,10,61,66
670,12,88,
672,21,37,
673,27,83,
674,8,14,17
674,30,19,20
675,21,88,
675,22,18,24
676,5,42,
676,16,41,43
676,25,41,42
677,12,93,94
678,8,86,89
679,8,79,
679,22,5,13
680,25,33,37
681,10,76,77
682,14,73,76
686,3,99,104
687,11,29,31
687,21,60,67
689,6,62,67
689,13,24,28
690,3,21,22
691,2,80,83
691,22,51,56
691,27,80,86
694,24,79,86
695,1,87,93
696,22,14,19
696,26,34,37
697,6,48,52
700,16,23,28
701,4,4,5
702,20,9,
702,27,5,13
704,26,84,92
705,13,58,59
705,24,93,100
706,14,99,104
711,24,10,15
712,4,82,86
712,9,50,
713,4,16,19
714,20,87,91
716,11,96,99
716,24,50,
716,30,53,57
717,13,40,
717,21,47,
718,20,38,
718,30,55,63
721,12,89,91
721,18,102,
721,28,8,
722,1,31,37
722,28,96,100
725,8,31,35
726,13,5,12
727,20,58,63
729,2,10,18
729,24,92,95
730,8,103,
731,9,27,
731,19,31,
732,24,24,31
732,29,99,
733,21,44,47
733,29,95,96
734,23,58,60
738,20,26,31
739,5,72,73
739,28,5,7
741,14,16,
741,21,31,34
741,23,31,34
742,7,99,102
743,14,63,66
743,26,97,
744,19,70,
745,20,60,
746,20,94,
746,23,27,31
748,28,77,
749,8,34,42
751,7,51,52
751,13,5,
752,17,25,
753,17,80,
755,9,26,30
755,11,70,76
756,2,81,
757,6,27,33
758,22,6,12
761,26,72,75
763,4,73,81
764,7,37,42
764,12,70,72
766,9,22,
767,5,39,40
767,6,65,67
770,25,58,
770,28,92,
771,2,74,80
772,5,27,28
773,6,18,23
774,9,16,21
774,11,43,49
774,16,61,
774,27,93,96
774,28,57,
774,29,20,
775,3,31,36
775,17,57,59
776,4,57,65
776,29,33,40
783,10,37,42
783,25,85,89
785,15,27,
786,4,68,71
786,15,67,74
786,19,69,
789,21,11,
789,25,41,44
790,16,59,65
791,9,60,
794,13,58,64
794,16,63,
795,10,7,8
795,22,93,
797,3,63,
797,27,61,65
798,25,101,104
798,26,2,7
799,28,69,77
801,8,61,
801,14,85,
801,18,93,
801,26,21,
803,7,94,99
803,10,102,104
804,3,77,84
804,16,59,62
804,28,76,
806,18,29,32
808,27,57,
810,7,103,104
810,25,94,
813,16,76,
814,6,5,9
814,15,81,85
815,10,7,15
816,27,75,
817,9,25,
817,30,61,68
818,19,21,25
819,2,39,41
819,23,7,
821,30,45,52
823,8,76,
823,19,103,104
824,10,56,
824,15,23,
824,25,100,103
824,30,38,
825,28,68,
826,16,15,
826,18,25,
827,16,15,16
832,3,77,78
832,15,29,30
832,18,6,7
833,3,40,
834,1,53,59
834,9,95,
834,16,12,
835,17,44,47
835,29,39,
836,27,1,5
838,7,17,18
838,28,44,48
838,29,12,
839,15,84,91
840,13,68,74
841,8,7,10
843,2,85,
843,28,11,
844,11,82,89
847,6,103,104
847,22,92,
848,20,99,104
848,23,92,97
848,24,43,
852,29,15,16
853,21,9,
855,26,77,
857,25,74,
858,10,25,
858,13,29,31
859,17,102,104
860,23,14,21
861,30,63,64
863,14,97,
863,22,74,
864,30,27,34
866,8,28,30
866,25,58,
867,12,8,
867,13,1,
867,21,78,86
868,10,62,65
868,20,52,
868,25,24,
870,14,65,73
871,18,26,34
872,14,34,42
872,17,61,63
875,3,41,46
875,7,92,94
876,18,10,17
877,1,87,88
877,6,98,102
877,18,20,
879,8,101,104
879,23,32,36
881,23,27,30
881,25,36,39
882,14,26,32
882,16,55,57
884,4,16,
884,6,82,90
884,21,104,104
885,17,59,
886,1,28,32
886,26,34,40
887,19,71,78
887,25,92,
889,8,71,74
889,29,8,
890,7,5,10
895,18,85,
897,22,28,33
898,28,102,104
901,6,54,62
901,29,29,30
902,21,5,9
902,27,37,
903,12,70,77
904,1,91,96
904,22,41,
905,27,35,
906,28,33,35
908,9,85,
908,23,93,96
908,26,20,24
909,12,68,
909,19,21,23
909,30,13,
910,25,44,49
911,8,70,
911,12,11,
911,18,51,
913,6,68,73
915,27,58,
917,2,64,
917,3,85,
917,17,21,23
917,28,14,19
918,12,94,
919,21,56,62
920,13,65,
920,20,36,
921,1,14,
923,1,89,
923,19,35,
923,30,38,
924,7,2,5
924,22,102,104
925,15,75,83
925,22,60,67
925,24,23,25
925,29,69,74
927,18,42,44
927,25,86,
927,28,24,31
927,29,70,
928,1,72,
929,1,23,29
930,6,68,
930,22,49,51
930,29,17,
931,3,33,
931,26,58,64
933,19,64,
934,2,1,8
934,22,100,104
936,16,55,57
937,26,91,92
938,3,50,
938,23,2,3
939,25,25,
940,6,88,95
940,17,28,29
940,18,65,70
942,14,89,
942,24,55,
944,27,9,11
945,21,41,42
946,6,25,
946,15,59,
946,24,72,75
947,23,60,65
948,5,81,85
948,6,45,
948,11,102,104
948,16,31,35
949,7,104,104
949,13,16,19
949,17,101,
950,4,84,86
950,7,103,104
951,4,46,50
952,2,46,48
952,20,60,62
954,11,67,68
955,23,48,
957,8,39,
957,28,12,13
958,6,68,
958,14,52,60
958,19,6,8
959,14,50,55
960,7,72,78
960,10,63,
960,30,40,48
961,5,67,70
961,6,85,86
961,20,76,80
963,11,95,100
964,1,92,94
964,27,28,36
965,4,67,74
965,8,80,81
966,2,28,
966,7,93,99
967,3,27,34
967,16,54,60
967,28,71,
969,21,6,11
972,1,68,
972,25,39,
973,3,15,
973,4,65,67
977,2,58,
977,18,92,
978,1,74,81
979,9,54,57
981,17,61,62
981,26,12,
982,2,86,90
983,20,90,
984,16,4,
985,10,64,70
985,25,58,
987,17,85,
989,17,27,
989,22,70,77
990,29,77,83
991,11,83,88
992,16,80,
992,17,43,48
992,21,28,32
993,2,55,
993,20,49,
994,6,30,34
994,23,60,
995,12,15,
996,27,37,38
997,13,23,30
998,3,48,
999,17,46,51
999,23,57,65
1000,12,66,
1000,25,34,39
1002,9,98,104
1002,15,4,12
1003,1,93,95
1003,23,40,
1007,10,67,72
1007,21,10,11
1008,6,36,
1009,12,51,
1012,13,76,80
1013,29,92,93
1015,14,62,69
1015,26,18,22
1015,30,86,91
1018,25,11,12
1019,2,50,
1020,14,30,37
1020,30,63,65
1021,14,74,82
1022,3,57,
1022,6,7,10
1024,19,67,73
1025,8,51,54
1025,9,25,28
1026,21,26,
1029,1,92,95
1029,5,55,62
1029,9,38,45
1029,20,84,
1030,18,96,97
1031,7,75,82
1032,11,35,
1032,20,13,
1034,11,36,38
1035,12,25,
1035,23,88,93
1036,11,39,
1036,23,50,55
1038,28,25,
1039,4,18,24
1040,4,52,53
1041,9,16,20
1042,8,92,98
1042,16,98,
1043,25,104,104
1044,9,93,101
1044,16,83,
1044,28,82,83
1048,10,15,22
1050,15,2,7
1051,7,44,
1051,9,102,104
1051,13,14,
1051,24,103,104
1053,16,100,103
1054,20,53,59
1054,21,50,51
1054,24,97,
1055,5,40,
1055,14,49,
1055,26,30,
1056,4,67,73
1056,5,85,88
1056,9,88,
1057,15,65,71
1057,27,30,
1057,28,55,56
1058,22,43,
1059,14,3,8
1060,2,16,
1060,7,48,49
1060,13,7,12
1060,15,25,
1060,25,82,
1062,16,89,95
1064,20,54,58
1065,12,21,25
1066,4,24,
1066,7,94,102
1067,8,93,
1068,5,1,3
1069,11,81,86
1069,16,22,
1070,19,96,
1070,24,10,16
1071,20,101,
1071,22,63,66
1072,24,53,
1073,11,47,54
1075,15,53,55
1076,10,17,22
1076,23,65,70
1077,1,72,
1079,4,100,
1079,9,101,104
1079,20,53,61
1082,25,7,
1082,29,16,
1083,20,52,
1084,25,81,85
1088,18,82,85
1088,24,73,
1090,19,5,
1093,11,94,100
1093,24,14,18
1094,13,34,36
1094,20,18,26
1095,5,67,70
1095,20,104,
1096,9,22,
1098,27,15,18
1100,6,16,19
1100,8,74,80
1101,7,32,
1102,17,26,32
1103,10,77,79
1103,19,65,
1103,20,8,14
1104,24,32,39
1104,27,21,23
1106,10,80,
1110,2,93,
1112,6,72,74
1113,18,47,52
1114,9,82,
1114,11,62,66
1115,15,86,
1117,1,15,23
1117,22,35,38
1118,5,20,27
1118,18,75,78
1120,28,25,30
1121,11,24,28
1124,22,79,83
1126,18,76,
1128,2,79,85
1128,26,35,
1129,22,101,104
1130,22,58,
1131,8,77,
1131,22,90,
1131,26,17,19
1132,12,61,69
1133,26,68,73
1134,26,80,88
1135,3,104,104
1135,4,2,
1136,6,10,16
1137,28,71,74
1143,12,39,
1143,17,31,39
1143,21,31,35
1144,5,59,66
1144,18,34,
1144,23,81,
1145,22,65,66
1146,20,77,85
1147,22,48,
1148,25,50,57
1148,27,12,
1149,27,75,76
1150,15,39,
1151,1,96,102
1151,14,40,41
1152,8,76,
1153,22,95,
1155,27,70,
1158,30,21,23
1159,1,51,57
1159,19,91,98
1160,7,72,
1160,19,70,
1161,8,35,39
1162,4,48,56
1163,5,77,81
1163,12,25,33
1163,14,6,7
1164,9,56,57
1167,27,22,26
1168,14,92,97
1168,16,30,32
1168,20,66,68
1168,29,84,87
1169,24,18,
1169,27,82,90
1170,22,17,
1175,9,18,
1175,27,50,52
1175,29,50,53
1176,11,38,45
1177,3,102,
1177,6,75,
1177,10,29,32
1177,25,48,
1178,18,75,
1178,29,38,46
1179,28,73,
1184,13,90,97
1187,7,96,100
1187,10,43,47
1189,12,33,
1192,17,35,
1192,20,100,102
1193,14,5,11
1193,16,93,97
1193,19,87,94
1194,27,17,
1196,1,6,9
1196,13,39,
1196,19,35,
1196,30,2,
1201,2,36,
1201,6,36,42
1202,28,100,104
1204,2,40,46
1204,5,14,22
1205,1,10,11
1205,29,50,56
1206,7,47,54
1206,22,51,52
1206,23,94,100
1206,29,16,
1207,2,47,
1207,28,75,
1209,4,104,
1209,13,3,9
1209,22,39,46
1209,29,35,38
1210,30,99,104
1211,4,68,75
1211,25,76,
1212,24,4,
1213,21,84,
1215,28,101,104
1216,12,37,
1218,19,20,23
1218,20,96,
1218,22,64,
1219,5,27,33
1219,20,73,75
1221,6,69,75
1221,17,19,
1224,5,69,
1225,16,97,102
1225,20,63,64
1228,1,38,
1228,4,74,82
1228,30,73,
1229,12,31,35
1229,23,78,
1230,18,21,
1231,14,30,33
1231,29,56,59
1232,13,43,
1232,15,84,
1233,6,31,32
1233,22,30,33
1234,2,85,
1235,14,10,11
1237,26,30,
1237,27,63,
1238,2,98,
1238,7,57,59
1238,10,19,20
1238,14,28,30
1239,7,10,17
1240,24,83,
1241,7,43,
1241,21,62,63
1242,5,88,89
1243,8,31,
1243,22,30,34
1245,15,51,59
1245,22,68,
1245,24,55,
1246,24,29,
1247,11,45,
1250,11,25,
1250,14,80,86
1254,3,85,
1254,12,83,87
1254,15,83,
1254,18,45,
1255,19,4,8
1255,30,59,63
1256,19,79,87
1257,22,14,19
1257,26,9,17
1259,2,57,
1259,28,5,
1260,22,24,
1260,23,15,16
1262,2,38,
1262,8,8,
1263,17,55,63
1263,21,47,50
1263,28,82,
1264,27,36,39
1266,23,94,102
1267,1,104,
1268,3,73,75
1269,17,51,57
1269,18,23,
1270,17,97,104
1270,25,79,
1271,7,59,66
1273,13,103,
1274,30,26,29
1275,5,96,101
1277,29,62,69
1279,25,71,79
1280,10,94,97
1280,28,10,
1281,5,34,
1281,7,58,
1281,17,21,
1281,26,11,
1281,29,79,82
1284,3,52,58
1286,13,96,103
1288,4,69,
1288,11,14,
1288,13,92,95
1290,10,31,
1290,25,13,19
1291,5,5,
1292,9,66,72
1294,8,104,104
1294,9,3,10
1296,19,95,98
1296,25,103,104
1297,3,72,76
1297,17,64,
1299,7,17,
1300,2,22,29
1300,23,78,85
1303,2,69,
1303,11,42,
1304,2,84,87
1304,5,62,
1304,7,8,
1305,14,93,
1309,7,74,
1309,21,31,
1310,20,81,89
1310,21,51,57
1311,4,93,
1313,3,89,93
1313,15,83,88
1314,15,47,
1314,16,22,26
1314,29,90,94
1316,16,16,
1318,13,7,
1318,21,75,
1319,15,58,64
1319,21,24,
1320,17,14,
1320,28,73,81
1322,3,6,
1322,26,92,
1323,22,29,36
1324,17,72,77
1326,3,90,
1327,16,76,
1328,16,79,85
1329,1,33,
1331,10,38,41
1332,10,99,102
1333,27,10,
1333,28,12,17
1333,29,38,
1335,10,100,101
1335,11,82,83
1335,22,49,
1336,15,82,
1337,1,97,102
1337,12,47,51
1337,18,49,50
1339,12,102,
1340,26,89,93
1340,30,104,
1341,7,89,
1342,18,56,62
1342,26,1,
1343,2,102,
1343,14,78,79
1343,24,36,
1343,29,72,78
1344,22,104,
1344,26,94,
1345,19,70,
1345,24,1,
1345,28,14,22
1345,30,20,22
1346,5,49,57
1346,24,66,
1351,16,39,46
1351,19,82,
1355,2,34,35
1355,24,35,40
1356,17,62,63
1360,15,77,78
1363,12,31,34
1363,19,45,
1364,2,12,16
1365,20,52,
1365,29,23,24
1366,5,77,
1368,2,52,58
1368,29,96,99
1370,12,1,
1373,13,71,78
1374,16,63,
1374,24,40,42
1376,16,73,
1377,19,66,
1378,6,3,6
1379,26,68,
1380,2,88,
1381,1,103,
1381,14,29,
1381,23,29,30
1382,4,64,71
1383,13,79,81
1386,16,27,29
1386,26,104,104
1387,26,32,36
1389,11,87,92
1390,18,54,
1391,20,103,104
1392,16,4,11
1393,27,94,95
1396,7,68,69
1397,23,78,
1401,5,74,78
1402,18,101,104
1402,30,11,15
1403,9,38,
1403,30,39,
1404,9,85,93
1405,13,35,
1405,14,64,66
1405,21,9,10
1406,4,53,
1408,3,77,82
1408,10,7,13
1413,30,30,37
1414,30,67,71
1415,9,13,
1417,18,67,
1418,6,90,94
1418,19,13,17
1419,13,42,50
1420,3,27,34
1420,20,100,104
1421,23,39,
1422,10,62,
1422,12,66,73
1423,3,75,
1423,18,100,101
1423,26,79,81
1424,11,79,
1424,26,76,83
1424,29,80,83
1425,3,16,23
1426,9,30,33
1426,23,7,13
1427,29,5,10
1428,23,42,46
1429,8,30,
1429,14,85,
1430,14,65,70
1430,16,89,
1430,23,84,90
1431,3,75,
1432,10,96,
1432,23,43,47
1433,10,35,43
1434,11,61,
1435,19,23,
1435,23,36,
1436,7,84,85
1436,25,74,
1437,28,29,
1438,1,104,
1439,9,97,104
1439,14,6,
1441,21,62,
1443,27,79,86
1444,8,76,84
1444,22,5,
1446,23,18,
1447,17,10,
1449,9,33,41
1450,11,44,48
1451,11,24,31
1451,17,83,85
1452,22,67,
1453,15,16,
1455,30,14,16
1456,19,27,28
1456,23,44,
1458,6,11,17
1458,13,89,92
1458,17,47,52
1458,18,23,30
1459,1,64,
1460,17,79,87
1460,20,53,55
1460,24,65,
1461,1,81,87
1461,5,39,42
1462,20,77,79
1466,13,46,
1466,22,36,
1466,27,50,54
1468,26,79,82
1469,1,61,66
1469,4,90,98
1469,10,19,
1470,1,41,47
1470,26,103,
1471,12,30,37
1476,1,28,30
1478,11,47,55
1479,14,33,40
1479,30,65,
1480,24,6,14
1481,2,82,87
1481,18,39,
1481,20,56,
1483,6,7,15
1484,3,79,84
1484,21,44,51
1484,29,84,91
1485,25,48,55
1485,30,3,
1486,1,47,
1486,8,77,78
1486,28,20,26
1486,30,87,93
1488,29,75,83
1489,18,53,54
1489,25,102,104
1489,26,3,
1492,12,32,37
1494,10,3,6
1496,10,17,
1497,2,10,
1497,24,6,
1498,15,82,
1499,11,80,
1499,30,32,
1500,4,44,48
1500,7,57,63
1502,2,55,57
1502,5,58,66
1503,5,35,
1503,13,46,48
1503,20,9,17
1505,10,53,58
1505,11,82,
1505,20,34,40
1506,30,6,
1508,30,30,32
1509,23,8,
1510,13,42,
1511,18,32,40
1512,22,70,74
1513,1,67,73
1513,26,51,57
1515,29,81,
1516,13,103,
1516,27,85,86
1518,9,15,
1518,17,53,
1518,22,96,
1518,29,38,
1519,11,40,48
1520,13,48,56
1521,26,12,14
1521,28,75,76
1522,1,60,62
1522,29,69,
1523,11,71,76
1523,30,45,47
1526,12,35,40
1526,13,65,71
1526,15,69,74
1527,13,95,
1527,22,16,
1527,27,7,
1528,8,53,61
1528,11,34,
1528,17,31,38
1529,27,59,61
1530,14,33,38
1531,15,24,28
1532,11,11,
1533,5,100,104
1533,24,65,
1534,12,101,
1534,28,59,
1535,22,86,93
1535,24,86,
1536,15,8,
1538,9,61,66
1539,5,60,
1540,4,53,
1540,15,29,
1541,6,73,
1542,13,21,27
1543,12,87,
1543,15,64,71
1543,30,31,
1544,17,10,
1546,30,74,80
1547,13,27,32
1548,19,43,
1551,20,95,
1552,23,31,34
1555,1,6,
1555,18,12,
1555,24,62,64
1555,29,45,52
